CODGEO;HT22;HT022;HT122;HT222;HT322;HT422;HT522;HTCH22;HTCH022;HTCH122;HTCH222;HTCH322;HTCH422;HTCH522;CPG22;CPG022;CPG122;CPG222;CPG322;CPG422;CPG522;CPGE22;CPGE022;CPGE122;CPGE222;CPGE322;CPGE422;CPGE522;CPGEL22;CPGEL022;CPGEL122;CPGEL222;CPGEL322;CPGEL422;CPGEL522;CPGEO22;CPGEO022;CPGEO122;CPGEO222;CPGEO322;CPGEO422;CPGEO522;VV22;VVUH22;VVLIT22;RT22;RTUH22;RTLIT22;AJCS22;AJCSUH22;AJCSLIT22
01001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01004;1;0;0;0;1;0;0;34;0;0;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;16;16;0;0;0
01005;2;1;0;0;1;0;0;20;7;0;0;13;0;0;1;0;0;1;0;0;0;72;0;0;72;0;0;0;4;0;0;4;0;0;0;68;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0
01006;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01010;1;1;0;0;0;0;0;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01011;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01012;1;0;0;0;1;0;0;9;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01014;1;0;0;1;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01016;1;0;0;0;1;0;0;20;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
01021;1;0;0;1;0;0;0;43;0;0;43;0;0;0;1;0;0;0;1;0;0;69;0;0;0;69;0;0;4;0;0;0;4;0;0;65;0;0;0;65;0;0;0;0;0;0;0;0;0;0;0
01022;1;1;0;0;0;0;0;5;5;0;0;0;0;0;1;0;0;0;1;0;0;56;0;0;0;56;0;0;0;0;0;0;0;0;0;56;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0
